race_code,日付raw,場コード,Ｒ,馬番,馬名,年齢,着順,騎手,調教師,オッズ,人気,着差,上がり3F,脚質,クラス名
2026062002010301,20260620,02,01,07,メーテルリンク,03,09,長浜鴻緒,深山雅史,0633,12,+007,356,3,703
2026062005030501,20260620,05,01,07,ホワイトオパール,03,11,黛弘人　,尾関知人,2370,16,+026,378,3,703
2026062002010301,20260620,02,01,08,ブラックジャック,03,02,小林美駒,須貝尚介,0125,05,+002,342,3,703
2026062009030501,20260620,09,01,08,ロードリベラシオン,04,01,五十嵐雄,尾形和幸,0039,02,-002,136,1,999
2026062005030501,20260620,05,01,08,サマースプラッシュ,03,08,菊沢一樹,石栗龍彦,1333,12,+020,375,3,703
2026062005030501,20260620,05,01,09,ノーブルブロウ,03,10,木幡巧也,中川公成,1789,14,+022,372,4,703
2026062009030501,20260620,09,01,09,タイセイジャスパー,07,00,上野翔　,伊藤圭三,0718,09,9999,999,0,999
2026062002010301,20260620,02,01,09,クリオロゴールド,03,05,横山武史,高柳瑞樹,0044,02,+003,349,3,703
2026062005030501,20260620,05,01,10,ユニバーサルラヴ,03,03,三浦皇成,尾関知人,1000,11,+008,370,2,703
2026062002010301,20260620,02,01,10,カンフージョン,03,15,小沢大仁,吉村圭司,1401,16,+013,354,4,703
2026062005030501,20260620,05,01,11,カキュウ,03,15,原優介　,佐藤吉勝,2132,15,+041,394,3,703
2026062002010301,20260620,02,01,11,テリオスルミ,03,14,遠藤汰月,高柳瑞樹,0840,14,+011,346,4,703
2026062005030501,20260620,05,01,12,アーティラリー,03,09,杉原誠人,松山将樹,0476,07,+022,379,3,703
2026062002010301,20260620,02,01,12,ブレッティレディ,03,08,横山琉人,高橋一哉,0714,13,+007,350,3,703
2026062005030501,20260620,05,01,13,フジサン,03,04,大野拓弥,大竹正博,0155,04,+013,375,2,703
2026062002010301,20260620,02,01,13,グランフィエルテ,03,01,柴田裕一,吉田直弘,0318,08,-002,351,2,703
2026062005030501,20260620,05,01,14,ダノンプレサージュ,03,01,横山典弘,大竹正博,0015,01,-008,364,2,703
2026062002010301,20260620,02,01,14,ミスチヴマリアンヌ,03,10,佐々木大,小野次郎,0459,11,+007,356,3,703
2026062002010301,20260620,02,01,15,ウインドトリック,03,12,和田陽希,鈴木孝志,0432,10,+009,355,3,703
2026062005030501,20260620,05,01,15,マッドヘッドラブ,03,13,武藤雅　,戸田博文,0905,10,+032,391,3,703
2026062002010301,20260620,02,01,16,ブルーエ,03,03,横山和生,田村康仁,0047,03,+003,352,3,703
2026062005030501,20260620,05,01,16,ゴールドビリーヴ,03,05,ゴンサル,鈴木慎太,0083,03,+013,368,3,703
2026062005030502,20260620,05,02,01,サクラドール,03,02,戸崎圭太,田島俊明,0022,01,+003,364,1,703
2026062002010302,20260620,02,02,01,ウォータースパウト,03,03,国分恭介,小笠倫弘,0277,06,+001,388,2,703
2026062009030502,20260620,09,02,01,サンライズロイ,03,04,岩田望来,牧浦充徳,0162,06,+006,373,2,703
2026062009030502,20260620,09,02,02,シャインゴーツ,03,05,酒井学　,北出成人,0082,03,+007,371,3,703
2026062002010302,20260620,02,02,02,ティナンヴァランタ,03,08,古川吉洋,森一誠　,0300,08,+012,392,3,703
2026062005030502,20260620,05,02,02,ヴェントベローチェ,03,04,北村宏司,勢司和浩,0458,07,+008,366,2,703
2026062005030502,20260620,05,02,03,パッサージュワイズ,03,16,菅原隆一,天間昭一,3489,14,+054,383,4,703
2026062002010302,20260620,02,02,03,アンミックス,03,07,斎藤新　,高柳大輔,0105,04,+009,398,1,703
2026062009030502,20260620,09,02,03,エナクローム,03,12,井上敏樹,吉田直弘,6414,16,+027,384,4,703
2026062009030502,20260620,09,02,04,イズジョーアザヤカ,03,09,富田暁　,千田輝彦,1049,11,+014,376,3,703
2026062005030502,20260620,05,02,04,リオダプラタ,03,15,上里直汰,西田雄一,1648,11,+029,382,3,703
2026062002010302,20260620,02,02,04,サチノブーケ,03,14,和田陽希,加藤公太,3837,13,+058,438,4,703
2026062005030502,20260620,05,02,05,スウィートラキ,03,10,木幡初也,堀内岳志,2192,12,+016,376,2,703
2026062002010302,20260620,02,02,05,ダリアフレイバー,03,09,舟山瑠泉,河嶋宏樹,0850,11,+015,393,3,703
2026062009030502,20260620,09,02,05,シビルガード,03,06,藤懸貴志,庄野靖志,2236,12,+009,379,1,703
2026062009030502,20260620,09,02,06,クロカミジョウ,03,03,菱田裕二,岡田稲男,0055,02,+005,369,3,703
2026062002010302,20260620,02,02,06,エーデルハイ,03,10,長浜鴻緒,天間昭一,1912,12,+021,389,4,703
2026062005030502,20260620,05,02,06,エッジランナー,03,08,松岡正海,戸田博文,2947,13,+012,360,4,703
2026062002010302,20260620,02,02,07,コイタマチャン,03,01,武豊　　,宮本博　,0030,02,-001,387,2,703
2026062005030502,20260620,05,02,07,ブルーミーティア,03,01,横山典弘,鈴木伸尋,0044,03,-003,356,3,703
2026062009030502,20260620,09,02,07,テイエムオオアラシ,03,16,鮫島良太,河嶋宏樹,2558,13,+060,414,4,703
2026062009030502,20260620,09,02,08,キャッチアシーフ,03,02,高杉吏麒,佐藤悠太,0095,04,+001,367,2,703
2026062002010302,20260620,02,02,08,ギンケイ,03,04,横山琉人,中川公成,0028,01,+003,376,3,703
2026062005030502,20260620,05,02,08,セキテイロックス,03,14,小林脩斗,嘉藤貴行,0121,04,+026,376,4,703
2026062002010302,20260620,02,02,09,キトゥンズラスター,03,13,小沢大仁,橋口慎介,0770,10,+044,418,4,703
2026062005030502,20260620,05,02,09,ソーマッチ,03,12,木幡育也,鈴木伸尋,4748,16,+022,370,4,703
2026062009030502,20260620,09,02,09,キタノガイヤール,03,15,森田誠也,畑端省吾,4226,15,+038,384,4,703
2026062009030502,20260620,09,02,10,マスターストーン,03,14,Ｍ．デム,前川恭子,0361,09,+032,388,4,703
2026062005030502,20260620,05,02,10,ショウナンタヅナ,03,05,津村明秀,武市康男,0128,05,+009,367,2,703
2026062002010302,20260620,02,02,10,ストリートクイーン,03,06,横山武史,高橋一哉,0116,05,+005,383,3,703
2026062002010302,20260620,02,02,11,マーゴットクリュグ,03,02,松本大輝,小林真也,0360,09,+001,384,2,703
2026062005030502,20260620,05,02,11,キイチムーブメント,03,06,原優介　,青木孝文,0220,06,+009,369,2,703
2026062009030502,20260620,09,02,11,ジャストアダッシュ,03,07,松若風馬,藤野健太,0247,08,+010,368,4,703
2026062009030502,20260620,09,02,12,マリリンバローズ,03,01,田山旺佑,佐藤悠太,0018,01,-001,369,2,703
2026062002010302,20260620,02,02,12,サラサチャチャチャ,03,05,丹内祐次,田中剛　,0045,03,+005,381,3,703
2026062005030502,20260620,05,02,12,ブレイブシュガー,03,07,吉田豊　,高橋文雅,0559,08,+012,365,3,703
2026062005030502,20260620,05,02,13,ステラゲイル,03,13,丸田恭介,石栗龍彦,3704,15,+025,376,4,703
2026062002010302,20260620,02,02,13,ソルトバーン,03,11,河原田菜,和田雄二,4425,14,+027,404,4,703
2026062009030502,20260620,09,02,13,ココロザスノ,03,08,川田将雅,千田輝彦,0156,05,+010,371,3,703
2026062009030502,20260620,09,02,14,ルクスドリーム,03,10,西村淳也,小崎憲　,0171,07,+016,384,2,703
2026062002010302,20260620,02,02,14,フローレスカラーズ,03,12,小林美駒,高木登　,0290,07,+042,418,4,703
2026062005030502,20260620,05,02,14,レイズレガシー,03,03,松山弘平,高柳瑞樹,0035,02,+003,359,3,703
2026062005030502,20260620,05,02,15,ガヤーズベース,03,11,菊沢一樹,田中勝春,0598,09,+017,371,3,703
2026062009030502,20260620,09,02,15,サウンドジュテ,03,11,田口貫太,鈴木孝志,0545,10,+020,386,2,703
2026062009030502,20260620,09,02,16,レッドジルベスター,03,13,小崎綾也,寺島良　,4120,14,+027,372,4,703
2026062005030502,20260620,05,02,16,トゥントゥントゥン,03,09,嶋田純次,手塚貴久,1022,10,+016,374,2,703
2026062005030503,20260620,05,03,01,ルミナスレイナ,03,12,吉田豊　,菊沢隆徳,3745,14,+016,357,3,703
2026062002010303,20260620,02,03,01,ギオンバヤシ,03,02,武豊　　,鈴木孝志,0057,02,+001,343,3,703
2026062009030503,20260620,09,03,01,マクノス,03,01,田口貫太,鈴木孝志,0116,06,-000,403,2,703
2026062005030503,20260620,05,03,02,ブレイブキトゥン,03,14,佐藤翔馬,尾形和幸,4015,15,+017,355,4,703
2026062002010303,20260620,02,03,02,メイショウノヴァス,03,08,小沢大仁,大橋勇樹,0107,06,+020,356,4,703
2026062009030503,20260620,09,03,02,フローマジック,03,08,岩田望来,辻野泰之,0070,04,+012,401,4,703
2026062002010303,20260620,02,03,03,ヒルノボローニャ,03,07,横山和生,昆貢　　,0171,08,+018,365,1,703
2026062009030503,20260620,09,03,03,アティラン,03,07,小崎綾也,寺島良　,5365,16,+009,405,3,703
2026062005030503,20260620,05,03,03,セキテイリノ,03,07,ゴンサル,田中剛　,0039,02,+008,361,2,703
2026062005030503,20260620,05,03,04,ジュンヴィヴァン,03,13,木幡巧也,伊坂重信,0828,10,+017,356,4,703
2026062009030503,20260620,09,03,04,ファーヴニル,03,11,森田誠也,千田輝彦,5306,15,+020,406,4,703
2026062002010303,20260620,02,03,04,アームアンフルール,03,12,小林美駒,本間忍　,1126,13,+022,363,3,703
2026062002010303,20260620,02,03,05,デイズインザサン,03,05,大久保友,小野次郎,1036,12,+009,349,3,703
2026062005030503,20260620,05,03,05,シルフィー,03,06,大野拓弥,村田一誠,0293,08,+008,353,3,703
2026062009030503,20260620,09,03,05,アウラニ,03,12,高倉稜　,武英智　,1148,12,+022,430,1,703
2026062002010303,20260620,02,03,06,ハヤブサブロー,03,13,吉田隼人,高橋義忠,0268,10,+024,368,3,703
2026062009030503,20260620,09,03,06,ウンナターシャ,03,03,坂井瑠星,高柳大輔,0044,03,+001,400,3,703
2026062005030503,20260620,05,03,06,カドドゥディエ,03,09,菊沢一樹,西田雄一,0239,07,+010,351,3,703
2026062005030503,20260620,05,03,07,ジュナベーラ,03,01,ルメール,木村哲也,0022,01,-001,343,3,703
2026062002010303,20260620,02,03,07,ゴコウコイコイ,03,03,国分恭介,栗田徹　,0520,11,+002,347,2,703
2026062009030503,20260620,09,03,07,ローレルアイビー,03,16,吉村誠之,杉山佳明,0735,11,+064,449,4,703
2026062002010303,20260620,02,03,08,インタノン,03,10,佐々木大,堀宣行　,0035,01,+021,361,4,703
2026062009030503,20260620,09,03,08,ミーンアロット,03,15,富田暁　,宮地貴稔,1751,13,+046,438,4,703
2026062005030503,20260620,05,03,08,コスモヘリアンサス,03,10,柴田大知,伊藤大士,2290,12,+013,355,3,703
2026062009030503,20260620,09,03,09,ロサドラーダ,03,14,高杉吏麒,藤岡健一,0042,02,+032,436,2,703
2026062002010303,20260620,02,03,09,スチョウプリンセス,03,06,松本大輝,的場均　,2193,15,+017,355,3,703
2026062005030503,20260620,05,03,09,ペプチドドリーム,03,02,丸山元気,松尾卓哉,0209,06,+001,346,3,703
2026062005030503,20260620,05,03,10,クレアノア,03,05,戸崎圭太,久保田貴,0058,03,+004,348,3,703
2026062009030503,20260620,09,03,10,エレーデサンライズ,03,05,永島まな,平田修　,0151,07,+005,397,3,703
2026062002010303,20260620,02,03,10,ジャケットポケット,03,01,岩田康誠,奥村武　,0066,04,-001,350,2,703
2026062009030503,20260620,09,03,11,アキノビューティー,03,04,鮫島良太,河嶋宏樹,0075,05,+002,397,3,703
2026062002010303,20260620,02,03,11,ザタイムハズカム,03,16,北村友一,福永祐一,0173,09,+151,489,4,703
2026062005030503,20260620,05,03,11,ムーングレイル,03,03,松山弘平,森一誠　,0074,04,+001,356,1,703
2026062002010303,20260620,02,03,12,ヤクジョ,03,14,石田拓郎,松永康利,0093,05,+025,361,4,703
2026062009030503,20260620,09,03,12,マリノエステーラ,03,10,田山旺佑,中竹和也,0368,09,+020,407,4,703
2026062005030503,20260620,05,03,12,チャチャット,03,08,横山典弘,柄崎将寿,0569,09,+009,357,2,703
2026062009030503,20260620,09,03,13,エアリアルグレース,03,13,川又賢治,吉村圭司,3767,14,+031,416,4,703
2026062005030503,20260620,05,03,13,ウインアプローチ,03,04,松岡正海,畠山吉宏,0119,05,+003,357,2,703
2026062002010303,20260620,02,03,13,スリールーディカ,03,11,柴田裕一,橋田宜長,2239,16,+021,359,4,703
2026062005030503,20260620,05,03,14,タケショウカイザー,03,15,丸田恭介,奥村武　,1601,11,+017,353,4,703
2026062009030503,20260620,09,03,14,マーゴットガイア,03,02,西村淳也,石坂公一,0039,01,+000,406,2,703
2026062002010303,20260620,02,03,14,マコトアディントン,03,04,丹内祐次,前川恭子,0060,03,+006,357,1,703
2026062009030503,20260620,09,03,15,ルージュエピック,03,09,菱田裕二,田中克典,0291,08,+015,408,3,703
2026062005030503,20260620,05,03,15,タイセイネクサス,03,16,黛弘人　,古賀慎明,3660,13,+027,362,4,703
2026062002010303,20260620,02,03,15,ラインクインビー,03,15,古川吉洋,水野貴広,1999,14,+031,363,4,703
2026062002010303,20260620,02,03,16,ウインポーシャ,03,09,長浜鴻緒,矢嶋大樹,0143,07,+020,370,2,703
2026062009030503,20260620,09,03,16,コズミックフレア,03,06,幸英明　,吉田直弘,0623,10,+008,408,3,703
2026062005030503,20260620,05,03,16,フュチュール,03,11,杉原誠人,嘉藤貴行,5647,16,+016,362,3,703
2026062002010304,20260620,02,04,01,クッカユフラ,03,10,斎藤新　,池上昌和,0285,09,+014,392,4,703
2026062009030504,20260620,09,04,01,リリークリスタル,03,11,川端海翼,緒方努　,1222,13,+027,411,3,703
2026062005030504,20260620,05,04,01,インサイドエッジ,02,02,ゴンサル,和田勇介,0381,08,+004,336,3,701
2026062002010304,20260620,02,04,02,ニシノモリミチ,03,04,横山武史,高木登　,0042,02,+004,393,1,703
2026062009030504,20260620,09,04,02,タガノランパート,03,05,田口貫太,奥村豊　,0682,10,+016,397,3,703
2026062005030504,20260620,05,04,02,ルークウォーム,02,01,津村明秀,手塚貴久,0027,01,-004,339,1,701
2026062009030504,20260620,09,04,03,グロートカイザー,03,06,国分優作,辻野泰之,1025,11,+017,391,3,703
2026062005030504,20260620,05,04,03,アフィーリア,02,09,三浦皇成,浅利英明,0339,07,+018,342,4,701
2026062002010304,20260620,02,04,03,ミリオンアップ,03,01,河原田菜,野中賢二,0175,08,-001,386,2,703
2026062002010304,20260620,02,04,04,シバノパージャン,03,14,小沢大仁,牧田和弥,1627,13,+033,403,4,703
2026062009030504,20260620,09,04,04,リノルアナ,03,10,酒井学　,坂口智康,0086,05,+026,402,3,703
2026062005030504,20260620,05,04,04,オーケーマドンナ,02,11,菊沢一樹,相沢郁　,0862,11,+026,360,2,701
2026062009030504,20260620,09,04,05,ペイシャマイデイズ,03,15,松若風馬,吉田直弘,0198,07,+049,433,3,703
2026062002010304,20260620,02,04,05,テリオスリコ,03,09,古川吉洋,松下武士,2366,14,+013,388,4,703
2026062005030504,20260620,05,04,05,ソプラノクイーン,02,08,戸崎圭太,中舘英二,0081,04,+018,344,4,701
2026062002010304,20260620,02,04,06,ブリスフルイヤー,03,08,石田拓郎,新開幸一,0140,06,+013,401,2,703
2026062009030504,20260620,09,04,06,オンザ,03,01,富田暁　,高橋一哉,0068,04,-000,386,2,703
2026062005030504,20260620,05,04,06,エルシオン,02,10,横山典弘,柄崎将寿,0582,09,+019,349,3,701
2026062005030504,20260620,05,04,07,パストザクラウン,02,07,原優介　,高橋義忠,0755,10,+014,340,4,701
2026062009030504,20260620,09,04,07,アウトリュコス,03,16,亀田温心,安田翔伍,0373,08,+077,439,4,703
2026062002010304,20260620,02,04,07,セイカユウヒ,03,11,丹内祐次,石栗龍彦,0688,12,+014,390,4,703
2026062002010304,20260620,02,04,08,タイセイルビー,03,06,北村友一,千葉直人,0168,07,+008,385,3,703
2026062009030504,20260620,09,04,08,ギレイ,03,12,吉村誠之,清水久詞,0149,06,+028,401,4,703
2026062005030504,20260620,05,04,08,スターリーデー,02,06,今村聖奈,茶木太樹,0117,05,+014,343,4,701
2026062002010304,20260620,02,04,09,ゴールデンダガー,03,02,横山和生,中舘英二,0071,04,+001,384,3,703
2026062005030504,20260620,05,04,09,ニクスルーナ,02,05,松山弘平,高柳大輔,0032,02,+012,347,2,701
2026062009030504,20260620,09,04,09,リバーソニック,03,03,西村淳也,浜田多実,0041,02,+009,385,3,703
2026062009030504,20260620,09,04,10,ソルトダイヤモンド,03,14,高倉稜　,武英智　,2273,16,+036,412,4,703
2026062005030504,20260620,05,04,10,ゴールデンハニビー,02,04,ルメール,黒岩陽一,0048,03,+011,342,3,701
2026062002010304,20260620,02,04,10,マツリダシリウス,03,12,舟山瑠泉,水野貴広,0629,11,+015,402,3,703
2026062005030504,20260620,05,04,11,ユリア,02,03,荻野極　,久保田貴,0156,06,+004,342,2,701
2026062002010304,20260620,02,04,11,ブレイズランナー,03,03,長浜鴻緒,蛯名正義,0086,05,+002,383,3,703
2026062009030504,20260620,09,04,11,サトノディヴァイン,03,07,幸英明　,橋口慎介,1542,14,+019,380,4,703
2026062002010304,20260620,02,04,12,ガーディアンテイル,03,07,岩田康誠,小手川準,0058,03,+009,393,3,703
2026062009030504,20260620,09,04,12,キングズテイル,03,04,角田大和,岡田稲男,0046,03,+010,399,2,703
2026062009030504,20260620,09,04,13,スパルタンエックス,03,02,田山旺佑,東田明士,0031,01,+000,390,1,703
2026062002010304,20260620,02,04,13,タガノシルフィー,03,05,浜中俊　,石橋守　,0033,01,+006,394,2,703
2026062009030504,20260620,09,04,14,ビーウィナー,03,08,秋山稔樹,羽月友彦,1662,15,+020,393,4,703
2026062002010304,20260620,02,04,14,リベンジャー,03,13,国分恭介,柴田卓　,0318,10,+021,385,4,703
2026062009030504,20260620,09,04,15,コンテナヒーロー,03,09,高杉吏麒,茶木太樹,1063,12,+024,392,4,703
2026062009030504,20260620,09,04,16,リードアクター,03,13,永島まな,本田優　,0522,09,+030,419,2,703
2026062009030505,20260620,09,05,01,サンタンジェロ,02,06,西村淳也,須貝尚介,0035,02,+005,367,2,701
2026062005030505,20260620,05,05,01,レッチュベルク,02,01,荻野極　,久保田貴,0040,02,-005,337,2,701
2026062002010305,20260620,02,05,01,ワイプユアアイズ,02,10,横山和生,柄崎将寿,0489,08,+030,347,4,701
2026062005030505,20260620,05,05,02,コンクレデンツァ,02,06,武藤雅　,戸田博文,1598,10,+013,347,3,701
2026062009030505,20260620,09,05,02,ルースソラール,02,03,吉村誠之,吉岡辰弥,0328,09,+002,357,3,701
2026062002010305,20260620,02,05,02,イモージェン,02,01,北村友一,池添学　,0036,03,-002,336,2,701
2026062005030505,20260620,05,05,03,ニシノアイオーン,02,10,嶋田純次,手塚貴久,0669,07,+080,407,4,701
2026062002010305,20260620,02,05,03,ファサ,02,05,武豊　　,井上智史,0066,04,+012,343,3,701
2026062009030505,20260620,09,05,03,ハロナ,02,08,坂井瑠星,須貝尚介,0144,06,+020,386,1,701
2026062005030505,20260620,05,05,04,マーズエクレール,02,08,戸崎圭太,佐藤悠太,0054,03,+020,354,3,701
2026062009030505,20260620,09,05,04,カツダルマ,02,05,幸英明　,秋山真一,0083,04,+003,366,2,701
2026062002010305,20260620,02,05,04,ラピッドテソーロ,02,03,丹内祐次,畠山吉宏,0033,01,+007,346,1,701
2026062002010305,20260620,02,05,05,セイウンコハルタ,02,09,長浜鴻緒,柄崎将寿,0672,09,+022,360,2,701
2026062009030505,20260620,09,05,05,ダノンヴェルサイユ,02,09,Ｍ．デム,坂口智康,0321,08,+027,381,4,701
2026062005030505,20260620,05,05,05,ホワイトフレアー,02,07,原優介　,黒岩陽一,0168,06,+018,349,4,701
2026062002010305,20260620,02,05,06,ソニックアイル,02,02,横山武史,平岩大典,0036,02,+002,336,2,701
2026062009030505,20260620,09,05,06,クールタロウ,02,04,富田暁　,宮地貴稔,0092,05,+003,357,4,701
2026062005030505,20260620,05,05,06,ペアスターロード,02,02,松山弘平,前川恭子,0127,05,+005,345,1,701
